Сверхъестественное; Supernatural; Warner Brothers Television;  2005 ;  - ; 13; 280;  ужасы, мистика, фэнтази, приключения, драма; Джаред Падалеки, Дженсен Эклс, Миша Коллинз, Марк Шеппард, Марк Преллегрино; США.
Великолепный век;  Muhtesem Yuzy?l; Tims Productions; 2011; 2014; 4; 139; историческая драма; Халит Эргенч, Мерьем Узерли, Вахиде Перчин, Окан Ялабык, Небахат Чехре, Сельма Эргеч, Нур Феттахоглу, Мехмет Гюнсюр, Пелин Карахан, Энгин Озтюрк, Мерве Болугур, Арас Булут Ийнемли, Гюрбей Илери, Толга Сарыташ, Мельтем Джумбул, Дениз Чакыр, Пынар Чаглар Генчтюрк, Селен Озтюрк; Турция.
Ривердейл; Riverdale; Warner Brothers Television; 2017; -; 2; 29; подростковая драма; Кей Джей Апа, Лили Рейнхарт, Камила Мендес, Коул Спроус, Марисоль Николс, Мадлен Петш, Эшли Мюррей, Мэдхен Амик, Люк Перри, Кейси Котт, Скит Ульрих, Марк Консуэлос, Ванесса Морган; США.
Флэш; The Flash; The CW; 2014; -; 4; 80;  драма, приключения, супергероический боевик, научная фантастика; Грант Гастин, Кэндис Паттон, Даниэль Панабэйкер, Рик Коснетт, Карлос Вальдес, Том Кавана, Джесси Л. Мартин, Кейнан Лонсдейл, Нил Сэндилэндс; США.
Ходячие мертвецы; The Walking Dead; AMC; 2010; -; 8; 114; постапокалиптика, зомби-апокалипсис, хоррор, драма; Эндрю Линкольн, Чендлер Риггз, Джон Бернтал, Стивен Ён, Норман Ридус, Мелисса Макбрайд, Лорен Коэн, Данай Гурира; США.
Супергерл; Supergirl; Warner Brothers Television; 2015; -; 3; 51; супергероический боевик, комедия, драма; Мелисса Бенойст, Мехкад Брукс, Кайлер Ли, Джереми Джордан, Дэвид Хэрвуд, Калиста Флокхарт, Крис Вуд, Флориана Лима, Кэти Макграт, Одетт Эннэбл; США.
Стрела; Arrow; The CW; 2015; -; 6; 126; драма, приключения, супергероический боевик; Стивен Амелл, Кэти Кэссиди, Колин Доннел, Уилла Холланд, Дэвид Рэмси, Сюзанна Томпсон, Пол Блэкторн, Эмили Бетт Рикардс, Колтон Хэйнс, Ману Беннетт, Джон Барроумен; США.
Дневники вампира; The Vampire Diaries; The CW; 2009; 2017; 8; 172; подростковая драма, триллер, фэнтези; Нина Добрев, Пол Уэсли, Иэн Сомерхолдер, Стивен Р. Маккуин, Сара Каннинг, Катерина Грэхэм, Кэндис Аккола, Зак Рериг, Кайла Юэлл, Майкл Тревино, Мэтью Дэвис, Джозеф Морган, Майкл Маларки; США.
Шерлок; Sherlock; BBC One; 2009; -; 4; 13; детектив, драма; Бенедикт Камбербэтч, Мартин Фримен; Великобритания.
Менталист; The Mentalist; Warner Brothers Television; 2008; 2015; 7; 151; драма, детектив; Саймон Бейкер, Робин Танни, Тим Кан, Овайн Йомэн, Аманда Ригетти, Рокмонд Данбар, Эмили Суоллоу, Джо Адлер, Джози Лорен; США.
Готэм; Gotham; Warner Brothers Television; 2014; -; 4; 84; супергеройский боевик, приключения, криминальная драма, триллер, неонуар; Бенджамин Маккензи, Донал Лог, Давид Мазоуз, Робин Лорд Тейлор, Эрин Ричардс, Забрина Гевара, Шон Пертви, Камрен Бикондова, Кори Майкл Смит, Джада Пинкетт-Смит, Виктория Картагена, Эндрю Стюарт-Джонс, Джон Доман, Морена Баккарин, Николас Д’Агосто, Крис Чок, Джеймс Фрейн, Джессика Лукас, Дрю Пауэлл, Майкл Чиклис; США.
Секретные материалы; The X-Files; FOX; 1993; 2002; 11; 218; научная фантастика, драма; Дэвид Духовны, Джиллиан Андерсон, Роберт Патрик, Аннабет Гиш, Митч Пиледжи; США.
13 причин почему; 13 Reasons Why; Netflix; 2017; -; 1; 13; подростковая драма, драма; Дилан Миннетт, Кэтрин Лэнгфорд, Кристиан Наварро, Алиша Боэ, Брэндон Флинн, Джастин Прентин, Майлс Хейзер, Росс Батлер, Девин Друид, Эми Харгривз, Дерек Люк, Кейт Уолш; США.
Нелюди; Inhumans; Marvel Television; 2017; 2017; 1; 8; супергеройский боевик, приключения, научная фантастика; Энсон Маунт, Серинда Суон, Иван Реон, Кен Люн, Эме Иквуакор, Изабель Корниш, Майк Мо, Соня Балморес; США.
Одаренные; The Gifted; Marvel Television; 2017; -; 1; 13; научная фантастика, боевик, драма, супергеройский боевик; Джеми Чон, Эми Экер, Стивен Мойер, Блэр Рэдфорд, Шон Тил, Эмма Дюмон, Натали Элин Линд; США.
Кости; Bones; Josephson Entertainment; 2005;2017; 12; 246; полицейская драма, комедия-драма; Эмили Дешанель, Дэвид Борианаз, Микаэла Конлин, Эрик Миллеган, Томас Джозеф Тайн, Джонатан Адамс, Тамара Тейлор, Джон Фрэнсис Дейли, Джон Бойд; США.
Тайны мира с Анной Чапман; Secrets of Peace with Anna Chapman; РЕН ТВ; 2009; 2016; 1; 98; Авторские; Анна Чапман; Россия.
Следствие вели с Леонидом Каневским; The investigation was conducted with Leonid Kanevsky; НТВ; 2006; -; 13; 402; документальный цикл; Леонид Каневский; Россия.
Отбросы; Misfits; E4; 2009; 2013; 5; 37; фантастика, драма, чёрная комедия; Иван Реон, Роберт Шиэн, Лорен Сока, Антония Томас, Нэйтан Стюарт-Джарретт, Джозеф Гилган; Великобритания.
Дикий ангел; Muneca brava; Telefe; 1998; 1999; 2; 270; комедия, мелодрама, мыльная опера; Натали Орейро,Факундо Арана; Аргентина.
Гримм; Grimm;26 Key Production; 2011; 2017; 6; 135; фэнтази, ужасы, детектив, драма; Дэвид Джинтоли, Расселл Хорнсби, Битси Таллок, Сайлас Уэйр Митчелл, Саша Ройз, Регги Ли, Бри Тёрнер, Клэр Коффи; США.
Лучше Звоните Солу; Better call Saul;Sony Pictures; 2015; -; 3; 30; драма, комедия; Боб Оденкерк, Джонатан Бэнкс, Риа Сихорн, Патрик Фабиан, Майкл Мэндо, Майкл Маккин, Джанкарло Эспозито; США.
Кремниевая долина; Selicon Valley; 3 Arts Entertainment; 2014; -; 5; 42; комедия; Томас Миддлдитч, Ти Джей Миллер, Зак Вуд, Кумэйл Нанджиани, Мартин Старр, Джош Бренер, Кристофер Эван Уэлш, Аманда Крю, Анджела Тримбур; США.
- ;- ;-;- ;-;- ;-;- ;-;-.
